Unique ID,Match Name,Date,Event,Brand/Promotion,YouTube Link,Dailymotion Link,Other Link,Thumbnail Link
"Shingo Takagi vs. Taichi - JTO - December 19, 2022 - 50th Anniversary for TAKATaichi Together",Shingo Takagi vs. Taichi,"December 19, 2022",50th Anniversary for TAKATaichi Together,JTO,,,,
"Will Ospreay vs. Kenny Omega - NJPW - January 4, 2023 - Wrestle Kingdom 17 Night 1",Will Ospreay vs. Kenny Omega,"January 4, 2023",Wrestle Kingdom 17 Night 1,NJPW,,,,
"Death Triangle ( Pac , Penta El Zero M and Rey Fenix ) vs. The Elite ( Kenny Omega , Matt Jackson and Nick Jackson ) - AEW - January 11, 2023 - Dynamite","Death Triangle ( Pac , Penta El Zero M and Rey Fenix ) vs. The Elite ( Kenny Omega , Matt Jackson and Nick Jackson )","January 11, 2023",Dynamite,AEW,,,,
"""Hangman"" Adam Page vs. Jon Moxley - AEW - March 5, 2023 - Revolution","""Hangman"" Adam Page vs. Jon Moxley","March 5, 2023",Revolution,AEW,,,,
"MJF vs. Bryan Danielson - AEW - March 5, 2023 - Revolution",MJF vs. Bryan Danielson,"March 5, 2023",Revolution,AEW,,,,
"Kenny Omega vs. El Hijo del Vikingo - AEW - March 22, 2023 - Dynamite",Kenny Omega vs. El Hijo del Vikingo,"March 22, 2023",Dynamite,AEW,,,,
"Kevin Owens and Sami Zayn vs. The Usos ( Jey Uso and Jimmy Uso ) - WWE - April 1, 2023 - WrestleMania 39 Night 1",Kevin Owens and Sami Zayn vs. The Usos ( Jey Uso and Jimmy Uso ),"April 1, 2023",WrestleMania 39 Night 1,WWE,,,,
"Gunther vs. Drew McIntyre vs. Sheamus - WWE - April 2, 2023 - WrestleMania 39 Night 2",Gunther vs. Drew McIntyre vs. Sheamus,"April 2, 2023",WrestleMania 39 Night 2,WWE,,,,
"Shingo Takagi vs. Aaron Henare - NJPW - April 2, 2023 - Road to Sakura Genesis",Shingo Takagi vs. Aaron Henare,"April 2, 2023",Road to Sakura Genesis,NJPW,,,,
"Master Wato vs. Titán - NJPW - May 28, 2023 - Best of the Super Juniors Finals",Master Wato vs. Titán,"May 28, 2023",Best of the Super Juniors Finals,NJPW,,,,
"Blackpool Combat Club ( Jon Moxley , Bryan Danielson , Claudio Castagnoli and Wheeler Yuta ) vs. The Elite ( Kenny Omega , Matt Jackson , Nick Jackson and ""Hangman"" Adam Page ) - AEW - May 28, 2023 - Double or Nothing","Blackpool Combat Club ( Jon Moxley , Bryan Danielson , Claudio Castagnoli and Wheeler Yuta ) vs. The Elite ( Kenny Omega , Matt Jackson , Nick Jackson and ""Hangman"" Adam Page )","May 28, 2023",Double or Nothing,AEW,,,,
"Blackpool Combat Club ( Jon Moxley and Claudio Castagnoli ) and Shota Umino vs. Chaos ( Kazuchika Okada and Tomohiro Ishii ) and Hiroshi Tanahashi - NJPW - June 4, 2023 - Dominion 6.4 in Osaka-jo Hall",Blackpool Combat Club ( Jon Moxley and Claudio Castagnoli ) and Shota Umino vs. Chaos ( Kazuchika Okada and Tomohiro Ishii ) and Hiroshi Tanahashi,"June 4, 2023",Dominion 6.4 in Osaka-jo Hall,NJPW,,,,
"Kenny Omega vs. Will Ospreay - AEW/NJPW - June 25, 2023 - Forbidden Door",Kenny Omega vs. Will Ospreay,"June 25, 2023",Forbidden Door,AEW/NJPW,,,,
"Kento Miyahara vs. Katsuhiko Nakajima - Noah - July 15, 2023 - One Night Dream",Kento Miyahara vs. Katsuhiko Nakajima,"July 15, 2023",One Night Dream,Noah,,,,
"FTR ( Cash Wheeler and Dax Harwood ) vs. Bullet Club Gold ( Jay White and Juice Robinson ) - AEW - July 15, 2023 - Collision",FTR ( Cash Wheeler and Dax Harwood ) vs. Bullet Club Gold ( Jay White and Juice Robinson ),"July 15, 2023",Collision,AEW,,,,
"Tetsuya Naito vs. Will Ospreay - NJPW - August 12, 2023 - G1 Climax 33 Night 18",Tetsuya Naito vs. Will Ospreay,"August 12, 2023",G1 Climax 33 Night 18,NJPW,,,,
"Tetsuya Naito vs. Kazuchika Okada - NJPW - August 13, 2023 - G1 Climax 33 Night 19",Tetsuya Naito vs. Kazuchika Okada,"August 13, 2023",G1 Climax 33 Night 19,NJPW,,,,
"Will Ospreay vs. Shingo Takagi - RevPro - August 26, 2023 - 11th Anniversary",Will Ospreay vs. Shingo Takagi,"August 26, 2023",11th Anniversary,RevPro,,,,
"Bryan Danielson vs. Ricky Starks - AEW - September 3, 2023 - All Out",Bryan Danielson vs. Ricky Starks,"September 3, 2023",All Out,AEW,,,,
"Kenny Omega vs. Konosuke Takeshita - AEW - September 3, 2023 - All Out",Kenny Omega vs. Konosuke Takeshita,"September 3, 2023",All Out,AEW,,,,
"Will Ospreay vs. Yota Tsuji - NJPW - September 24, 2023 - Destruction in Kobe",Will Ospreay vs. Yota Tsuji,"September 24, 2023",Destruction in Kobe,NJPW,,,,
"Bryan Danielson vs. Zack Sabre Jr. - AEW - October 1, 2023 - WrestleDream",Bryan Danielson vs. Zack Sabre Jr.,"October 1, 2023",WrestleDream,AEW,,,,
"Will Ospreay vs. Zack Sabre Jr. - NJPW - October 14, 2023 - Royal Quest III",Will Ospreay vs. Zack Sabre Jr.,"October 14, 2023",Royal Quest III,NJPW,,,,
"""Speedball"" Mike Bailey vs. Will Ospreay - Impact - October 21, 2023 - Bound for Glory","""Speedball"" Mike Bailey vs. Will Ospreay","October 21, 2023",Bound for Glory,Impact,,,,
"Will Ospreay vs. Shota Umino - NJPW - November 4, 2023 - Power Struggle",Will Ospreay vs. Shota Umino,"November 4, 2023",Power Struggle,NJPW,,,,
"Katsuhiko Nakajima vs. Yuma Aoyagi - AJPW - November 5, 2023 - Giant Series 2023: Hokkaido Edition Day 6 (Evening Show)",Katsuhiko Nakajima vs. Yuma Aoyagi,"November 5, 2023",Giant Series 2023: Hokkaido Edition Day 6 (Evening Show),AJPW,,,,
"Swerve Strickland vs. ""Hangman"" Adam Page - AEW - November 18, 2023 - Full Gear","Swerve Strickland vs. ""Hangman"" Adam Page","November 18, 2023",Full Gear,AEW,,,,
"Katsuhiko Nakajima vs. Kento Miyahara - AJPW - December 31, 2023 - ManiaX",Katsuhiko Nakajima vs. Kento Miyahara,"December 31, 2023",ManiaX,AJPW,,,,
"Kazuchika Okada vs. Bryan Danielson - NJPW - January 4, 2024 - Wrestle Kingdom 18",Kazuchika Okada vs. Bryan Danielson,"January 4, 2024",Wrestle Kingdom 18,NJPW,,,,
"Máscara Dorada vs. Templario - CMLL - January 5, 2024 - Super Viernes",Máscara Dorada vs. Templario,"January 5, 2024",Super Viernes,CMLL,,,,
"Jon Moxley vs. Shingo Takagi - NJPW - January 13, 2024 - Battle in the Valley",Jon Moxley vs. Shingo Takagi,"January 13, 2024",Battle in the Valley,NJPW,,,,
"Kazuchika Okada vs. Will Ospreay - NJPW - January 13, 2024 - Battle in the Valley",Kazuchika Okada vs. Will Ospreay,"January 13, 2024",Battle in the Valley,NJPW,,,,
"Josh Alexander vs. Will Ospreay - TNA - January 14, 2024 - Impact!",Josh Alexander vs. Will Ospreay,"January 14, 2024",Impact!,TNA,,,,
"Zack Sabre Jr. vs. Bryan Danielson - NJPW - February 11, 2024 - The New Beginning in Osaka",Zack Sabre Jr. vs. Bryan Danielson,"February 11, 2024",The New Beginning in Osaka,NJPW,,,,
"Michael Oku vs. Will Ospreay - RevPro - February 18, 2024 - High Stakes",Michael Oku vs. Will Ospreay,"February 18, 2024",High Stakes,RevPro,,,,
"Will Ospreay vs. Konosuke Takeshita - AEW - March 3, 2024 - Revolution",Will Ospreay vs. Konosuke Takeshita,"March 3, 2024",Revolution,AEW,,,,
"Will Ospreay vs. Kyle Fletcher - AEW - March 6, 2024 - Dynamite",Will Ospreay vs. Kyle Fletcher,"March 6, 2024",Dynamite,AEW,,,,
"Will Ospreay vs. Bryan Danielson - AEW - April 21, 2024 - Dynasty",Will Ospreay vs. Bryan Danielson,"April 21, 2024",Dynasty,AEW,,,,
"Cody Rhodes vs. AJ Styles - WWE - May 4, 2024 - Backlash",Cody Rhodes vs. AJ Styles,"May 4, 2024",Backlash,WWE,,,,
"Masa Kitamiya vs. Tomohiro Ishii - Noah - May 22, 2024 - One Night Dream 2",Masa Kitamiya vs. Tomohiro Ishii,"May 22, 2024",One Night Dream 2,Noah,,,,
"Hechicero vs. Zack Sabre Jr. - CMLL - June 22, 2024 - Sabados de Coliseo",Hechicero vs. Zack Sabre Jr.,"June 22, 2024",Sabados de Coliseo,CMLL,,,,
"Swerve Strickland vs. Will Ospreay - AEW/NJPW - June 30, 2024 - Forbidden Door",Swerve Strickland vs. Will Ospreay,"June 30, 2024",Forbidden Door,AEW/NJPW,,,,
"MJF vs. Will Ospreay - AEW - July 17, 2024 - Dynamite 250",MJF vs. Will Ospreay,"July 17, 2024",Dynamite 250,AEW,,,,
"Konosuke Takeshita vs. El Phantasmo - NJPW - August 7, 2024 - G1 Climax 34 Night 12",Konosuke Takeshita vs. El Phantasmo,"August 7, 2024",G1 Climax 34 Night 12,NJPW,,,,
"Will Ospreay vs. MJF - AEW - August 25, 2024 - All In",Will Ospreay vs. MJF,"August 25, 2024",All In,AEW,,,,
"Bryan Danielson vs. Swerve Strickland - AEW - August 25, 2024 - All In",Bryan Danielson vs. Swerve Strickland,"August 25, 2024",All In,AEW,,,,
"Will Ospreay vs. Pac - AEW - September 7, 2024 - All Out",Will Ospreay vs. Pac,"September 7, 2024",All Out,AEW,,,,
"CM Punk vs. Drew McIntyre - WWE - October 5, 2024 - Bad Blood",CM Punk vs. Drew McIntyre,"October 5, 2024",Bad Blood,WWE,,,,
"Konosuke Takeshita vs. Will Ospreay vs. Ricochet - AEW - October 12, 2024 - WrestleDream",Konosuke Takeshita vs. Will Ospreay vs. Ricochet,"October 12, 2024",WrestleDream,AEW,,,,
"Konosuke Takeshita vs. ""Speedball"" Mike Bailey - MLP - October 19, 2024 - Forged in Excellence Night 1","Konosuke Takeshita vs. ""Speedball"" Mike Bailey","October 19, 2024",Forged in Excellence Night 1,MLP,,,,
"Zack Sabre Jr. vs. Shingo Takagi - NJPW - November 4, 2024 - Power Struggle",Zack Sabre Jr. vs. Shingo Takagi,"November 4, 2024",Power Struggle,NJPW,,,,
"Kyle Fletcher vs. Will Ospreay - AEW - November 23, 2024 - Full Gear",Kyle Fletcher vs. Will Ospreay,"November 23, 2024",Full Gear,AEW,,,,
"Darby Allin vs. Will Ospreay - AEW - December 18, 2024 - Dynamite Holiday Bash",Darby Allin vs. Will Ospreay,"December 18, 2024",Dynamite Holiday Bash,AEW,,,,
"Will Ospreay vs. Kyle Fletcher - AEW - December 28, 2024 - Worlds End",Will Ospreay vs. Kyle Fletcher,"December 28, 2024",Worlds End,AEW,,,,
"Kazuchika Okada vs. Will Ospreay - AEW - December 28, 2024 - Worlds End",Kazuchika Okada vs. Will Ospreay,"December 28, 2024",Worlds End,AEW,,,,
"Kenny Omega vs. Gabe Kidd - AEW/CMLL/ NJPW/ROH/ Stardom - January 5, 2025 - Wrestle Dynasty",Kenny Omega vs. Gabe Kidd,"January 5, 2025",Wrestle Dynasty,AEW/CMLL/ NJPW/ROH/ Stardom,,,,
"Cosmic Angels ( Saori Anou , Tam Nakano and Natsupoi ) vs. Neo Genesis ( AZM , Starlight Kid and Miyu Amasaki ) - Stardom - February 2, 2025 - Supreme Fight","Cosmic Angels ( Saori Anou , Tam Nakano and Natsupoi ) vs. Neo Genesis ( AZM , Starlight Kid and Miyu Amasaki )","February 2, 2025",Supreme Fight,Stardom,,,,
"Yota Tsuji vs. Gabe Kidd - NJPW - February 11, 2025 - The New Beginning in Osaka",Yota Tsuji vs. Gabe Kidd,"February 11, 2025",The New Beginning in Osaka,NJPW,,,,
"Kenny Omega and Will Ospreay vs. Don Callis Family ( Konosuke Takeshita and Kyle Fletcher ) - AEW - February 15, 2025 - Grand Slam Australia",Kenny Omega and Will Ospreay vs. Don Callis Family ( Konosuke Takeshita and Kyle Fletcher ),"February 15, 2025",Grand Slam Australia,AEW,,,,
"Kevin Owens vs. Sami Zayn - WWE - March 1, 2025 - Elimination Chamber",Kevin Owens vs. Sami Zayn,"March 1, 2025",Elimination Chamber,WWE,,,,
"Saya Kamitani vs. Tam Nakano - Stardom - March 3, 2025 - Stardom Nighter in Korakuen",Saya Kamitani vs. Tam Nakano,"March 3, 2025",Stardom Nighter in Korakuen,Stardom,,,,
"Toni Storm vs. Mariah May - AEW - March 9, 2025 - Revolution",Toni Storm vs. Mariah May,"March 9, 2025",Revolution,AEW,,,,
"Kenny Omega vs. Konosuke Takeshita - AEW - March 9, 2025 - Revolution",Kenny Omega vs. Konosuke Takeshita,"March 9, 2025",Revolution,AEW,,,,
"Will Ospreay vs. Kyle Fletcher - AEW - March 9, 2025 - Revolution",Will Ospreay vs. Kyle Fletcher,"March 9, 2025",Revolution,AEW,,,,
"Will Ospreay vs. Konosuke Takeshita - AEW - April 16, 2025 - Dynamite Spring BreakThru",Will Ospreay vs. Konosuke Takeshita,"April 16, 2025",Dynamite Spring BreakThru,AEW,,,,
"Iyo Sky vs. Rhea Ripley vs. Bianca Belair - WWE - April 20, 2025 - WrestleMania 41 Night 2",Iyo Sky vs. Rhea Ripley vs. Bianca Belair,"April 20, 2025",WrestleMania 41 Night 2,WWE,,,,
"Street Profits ( Angelo Dawkins and Montez Ford ) vs. DIY ( Johnny Gargano and Tommaso Ciampa ) vs. Motor City Machine Guns ( Alex Shelley and Chris Sabin ) - WWE - April 25, 2025 - SmackDown",Street Profits ( Angelo Dawkins and Montez Ford ) vs. DIY ( Johnny Gargano and Tommaso Ciampa ) vs. Motor City Machine Guns ( Alex Shelley and Chris Sabin ),"April 25, 2025",SmackDown,WWE,,,,
"Saya Kamitani vs. Tam Nakano - Stardom - April 27, 2025 - All Star Grand Queendom",Saya Kamitani vs. Tam Nakano,"April 27, 2025",All Star Grand Queendom,Stardom,,,,
"Kenny Omega , Willow Nightingale , Swerve Strickland and The Opps ( Samoa Joe , Powerhouse Hobbs and Katsuyori Shibata ) vs. Death Riders ( Jon Moxley , Claudio Castagnoli , Marina Shafir and Wheeler Yuta ) and The Young Bucks ( Matthew Jackson and Nicholas Jackson ) - AEW - May 25, 2025 - Double or Nothing","Kenny Omega , Willow Nightingale , Swerve Strickland and The Opps ( Samoa Joe , Powerhouse Hobbs and Katsuyori Shibata ) vs. Death Riders ( Jon Moxley , Claudio Castagnoli , Marina Shafir and Wheeler Yuta ) and The Young Bucks ( Matthew Jackson and Nicholas Jackson )","May 25, 2025",Double or Nothing,AEW,,,,
"""Hangman"" Adam Page vs. Will Ospreay - AEW - May 25, 2025 - Double or Nothing","""Hangman"" Adam Page vs. Will Ospreay","May 25, 2025",Double or Nothing,AEW,,,,
"Kosei Fujita vs. Yoh - NJPW - June 1, 2025 - Best of the Super Juniors Finals",Kosei Fujita vs. Yoh,"June 1, 2025",Best of the Super Juniors Finals,NJPW,,,,
"Will Ospreay vs. Swerve Strickland - AEW - June 11, 2025 - Dynamite Summer Blockbuster",Will Ospreay vs. Swerve Strickland,"June 11, 2025",Dynamite Summer Blockbuster,AEW,,,,
"Bandido vs. Máscara Dorada - AEW/CMLL/ROH - June 17, 2025 - CMLL vs. AEW & ROH",Bandido vs. Máscara Dorada,"June 17, 2025",CMLL vs. AEW & ROH,AEW/CMLL/ROH,,,,
"Bandido and Hologram vs. El Sky Team ( Místico and Máscara Dorada ) - CMLL - June 20, 2025 - Fantastica Mania: Mexico",Bandido and Hologram vs. El Sky Team ( Místico and Máscara Dorada ),"June 20, 2025",Fantastica Mania: Mexico,CMLL,,,,
"Sareee vs. Syuri - Stardom - June 21, 2025 - Stardom The Conversion 2025",Sareee vs. Syuri,"June 21, 2025",Stardom The Conversion 2025,Stardom,,,,
"Taichi vs. Tomohiro Ishii - NJPW - July 6, 2025 - New Japan Soul Day 9",Taichi vs. Tomohiro Ishii,"July 6, 2025",New Japan Soul Day 9,NJPW,,,,
"Bandido vs. Konosuke Takeshita - ROH - July 11, 2025 - Supercard of Honor",Bandido vs. Konosuke Takeshita,"July 11, 2025",Supercard of Honor,ROH,,,,
"Will Ospreay and Swerve Strickland vs. The Young Bucks ( Matthew Jackson and Nicholas Jackson ) - AEW - July 12, 2025 - All In: Texas",Will Ospreay and Swerve Strickland vs. The Young Bucks ( Matthew Jackson and Nicholas Jackson ),"July 12, 2025",All In: Texas,AEW,,,,
"""Hangman"" Adam Page vs. Jon Moxley - AEW - July 12, 2025 - All In: Texas","""Hangman"" Adam Page vs. Jon Moxley","July 12, 2025",All In: Texas,AEW,,,,
"Neón vs. Máscara Dorada - CMLL - July 25, 2025 - Leyenda de Plata",Neón vs. Máscara Dorada,"July 25, 2025",Leyenda de Plata,CMLL,,,,
"Kyle Fletcher vs. Dustin Rhodes - AEW - July 31, 2025 - Collision",Kyle Fletcher vs. Dustin Rhodes,"July 31, 2025",Collision,AEW,,,,
"Cody Rhodes vs. John Cena - WWE - August 3, 2025 - SummerSlam Night 2",Cody Rhodes vs. John Cena,"August 3, 2025",SummerSlam Night 2,WWE,,,,
"Will Ospreay , Hiroshi Tanahashi , Darby Allin and Golden Lovers ( Kenny Omega and Kota Ibushi ) vs. Death Riders ( Jon Moxley and Claudio Castagnoli ) , Gabe Kidd and The Young Bucks ( Matt Jackson and Nick Jackson ) - AEW/NJPW - August 24, 2025 - Forbidden Door","Will Ospreay , Hiroshi Tanahashi , Darby Allin and Golden Lovers ( Kenny Omega and Kota Ibushi ) vs. Death Riders ( Jon Moxley and Claudio Castagnoli ) , Gabe Kidd and The Young Bucks ( Matt Jackson and Nick Jackson )","August 24, 2025",Forbidden Door,AEW/NJPW,,,,
"Bandido vs. Hechicero - ROH - August 29, 2025 - Death Before Dishonor",Bandido vs. Hechicero,"August 29, 2025",Death Before Dishonor,ROH,,,,
"Team Mexico ( Ángel de Oro , Atlantis Jr. , Difunto, Máscara Dorada , Neón , Místico , Templario , Titán , Volador Jr. and Zandokan Jr. ) vs. Team International ( Action Andretti , ""Speedball"" Mike Bailey , Donovan Dijak , Taiji Ishimori , The Beast Mortos , Michael Oku , Rocky Romero , Lio Rush , TJP and Robbie X ) - CMLL - August 29, 2025 - International Gran Prix","Team Mexico ( Ángel de Oro , Atlantis Jr. , Difunto, Máscara Dorada , Neón , Místico , Templario , Titán , Volador Jr. and Zandokan Jr. ) vs. Team International ( Action Andretti , ""Speedball"" Mike Bailey , Donovan Dijak , Taiji Ishimori , The Beast Mortos , Michael Oku , Rocky Romero , Lio Rush , TJP and Robbie X )","August 29, 2025",International Gran Prix,CMLL,,,,
"Místico vs. MJF - CMLL - September 19, 2025 - 92nd Anniversary Show",Místico vs. MJF,"September 19, 2025",92nd Anniversary Show,CMLL,,,,
"Kazuchika Okada vs. Konosuke Takeshita vs. Máscara Dorada - AEW - September 20, 2025 - All Out",Kazuchika Okada vs. Konosuke Takeshita vs. Máscara Dorada,"September 20, 2025",All Out,AEW,,,,
"""Hangman"" Adam Page vs. Kyle Fletcher - AEW - September 20, 2025 - All Out","""Hangman"" Adam Page vs. Kyle Fletcher","September 20, 2025",All Out,AEW,,,,
"Konosuke Takeshita vs. Zack Sabre Jr. - NJPW - October 13, 2025 - King of Pro-Wrestling",Konosuke Takeshita vs. Zack Sabre Jr.,"October 13, 2025",King of Pro-Wrestling,NJPW,,,,
"Brodido ( Bandido and Brody King ) vs. Don Callis Family ( Kazuchika Okada and Konosuke Takeshita ) - AEW - October 18, 2025 - WrestleDream",Brodido ( Bandido and Brody King ) vs. Don Callis Family ( Kazuchika Okada and Konosuke Takeshita ),"October 18, 2025",WrestleDream,AEW,,,,
"Darby Allin , The Conglomeration ( Mark Briscoe , Orange Cassidy and Kyle O'Reilly ) and Roderick Strong vs. Death Riders ( Jon Moxley , Claudio Castagnoli , Daniel Garcia , Pac and Wheeler Yuta ) - AEW - November 12, 2025 - Dynamite Blood and Guts","Darby Allin , The Conglomeration ( Mark Briscoe , Orange Cassidy and Kyle O'Reilly ) and Roderick Strong vs. Death Riders ( Jon Moxley , Claudio Castagnoli , Daniel Garcia , Pac and Wheeler Yuta )","November 12, 2025",Dynamite Blood and Guts,AEW,,,,
"FTR ( Dax Harwood and Cash Wheeler ) vs. Brodido ( Bandido and Brody King ) - AEW - November 22, 2025 - Full Gear",FTR ( Dax Harwood and Cash Wheeler ) vs. Brodido ( Bandido and Brody King ),"November 22, 2025",Full Gear,AEW,,,,
"Mark Briscoe vs. Kyle Fletcher - AEW - November 22, 2025 - Full Gear",Mark Briscoe vs. Kyle Fletcher,"November 22, 2025",Full Gear,AEW,,,,
"Máscara Dorada vs. Komander - CMLL - November 23, 2025 - Domingo Familiar",Máscara Dorada vs. Komander,"November 23, 2025",Domingo Familiar,CMLL,,,,
"""Speedball"" Mike Bailey vs. Kyle Fletcher - AEW - December 10, 2025 - Dynamite Winter Is Coming","""Speedball"" Mike Bailey vs. Kyle Fletcher","December 10, 2025",Dynamite Winter Is Coming,AEW,,,,
"Kyle Fletcher vs. Jon Moxley - AEW - December 27, 2025 - Worlds End",Kyle Fletcher vs. Jon Moxley,"December 27, 2025",Worlds End,AEW,,,,
"Konosuke Takeshita vs. Yota Tsuji - NJPW - January 4, 2026 - Wrestle Kingdom 20",Konosuke Takeshita vs. Yota Tsuji,"January 4, 2026",Wrestle Kingdom 20,NJPW,,,,
"Hiroshi Tanahashi vs. Kazuchika Okada - NJPW - January 4, 2026 - Wrestle Kingdom 20",Hiroshi Tanahashi vs. Kazuchika Okada,"January 4, 2026",Wrestle Kingdom 20,NJPW,,,,
"Shota Umino and Yuya Uemura vs. Tomohiro Ishii and Taichi - NJPW - January 19, 2026 - Road to The New Beginning",Shota Umino and Yuya Uemura vs. Tomohiro Ishii and Taichi,"January 19, 2026",Road to The New Beginning,NJPW,,,,
"Swerve Strickland vs. Kenny Omega - AEW - February 18, 2026 - Dynamite",Swerve Strickland vs. Kenny Omega,"February 18, 2026",Dynamite,AEW,,,,
"Jack Perry , The Rascalz ( Dezmond Xavier & Zachary Wentz ), and The Young Bucks ( Matt Jackson and Nick Jackson ) vs. FTR ( Dax Harwood & Cash Wheeler ) and The Demand ( Ricochet and Gates of Agony ( Bishop Kaun and Toa Liona )) - AEW - February 25, 2026 - Dynamite","Jack Perry , The Rascalz ( Dezmond Xavier & Zachary Wentz ), and The Young Bucks ( Matt Jackson and Nick Jackson ) vs. FTR ( Dax Harwood & Cash Wheeler ) and The Demand ( Ricochet and Gates of Agony ( Bishop Kaun and Toa Liona ))","February 25, 2026",Dynamite,AEW,,,,
"Kyle Fletcher vs. ""Speedball"" Mike Bailey - AEW - March 11, 2026 - Dynamite","Kyle Fletcher vs. ""Speedball"" Mike Bailey","March 11, 2026",Dynamite,AEW,,,,
"FTR ( Dax Harwood and Cash Wheeler ) vs. The Young Bucks ( Matt Jackson and Nick Jackson ) - AEW - March 15, 2026 - Revolution",FTR ( Dax Harwood and Cash Wheeler ) vs. The Young Bucks ( Matt Jackson and Nick Jackson ),"March 15, 2026",Revolution,AEW,,,,
"Jon Moxley vs. Konosuke Takeshita - AEW - March 15, 2026 - Revolution",Jon Moxley vs. Konosuke Takeshita,"March 15, 2026",Revolution,AEW,,,,
"Andrade El Idolo vs. Bandido - AEW - March 15, 2026 - Revolution",Andrade El Idolo vs. Bandido,"March 15, 2026",Revolution,AEW,,,,
"Callum Newman vs. Yuya Uemura - NJPW - March 21, 2026 - New Japan Cup Final",Callum Newman vs. Yuya Uemura,"March 21, 2026",New Japan Cup Final,NJPW,,,,
"Místico and JetSpeed ( Kevin Knight & “Speedball” Mike Bailey ) vs. Hechicero , Volador Jr. , and El Clon - CMLL - April 3, 2026 - Super Viernes","Místico and JetSpeed ( Kevin Knight & “Speedball” Mike Bailey ) vs. Hechicero , Volador Jr. , and El Clon","April 3, 2026",Super Viernes,CMLL,,,,
"The Young Bucks ( Matt Jackson and Nick Jackson ) vs. Don Callis Family ( Kazuchika Okada and Konosuke Takeshita ) - AEW - April 12, 2026 - Dynasty",The Young Bucks ( Matt Jackson and Nick Jackson ) vs. Don Callis Family ( Kazuchika Okada and Konosuke Takeshita ),"April 12, 2026",Dynasty,AEW,,,,
"CM Punk vs. Roman Reigns - WWE - April 19, 2026 - WrestleMania 42 Night 2",CM Punk vs. Roman Reigns,"April 19, 2026",WrestleMania 42 Night 2,WWE,,,,
"Darby Allin vs. Tommaso Ciampa - AEW - April 22, 2026 - Dynamite",Darby Allin vs. Tommaso Ciampa,"April 22, 2026",Dynamite,AEW,,,,
"Darby Allin vs. Konosuke Takeshita - AEW - May 13, 2026 - Dynamite",Darby Allin vs. Konosuke Takeshita,"May 13, 2026",Dynamite,AEW,,,,
"Adam Copeland and Christian Cage vs. FTR ( Dax Harwood and Cash Wheeler ) - AEW - May 24, 2026 - Double or Nothing",Adam Copeland and Christian Cage vs. FTR ( Dax Harwood and Cash Wheeler ),"May 24, 2026",Double or Nothing,AEW,,,,
"Kazuchika Okada vs. Konosuke Takeshita - AEW - May 24, 2026 - Double or Nothing",Kazuchika Okada vs. Konosuke Takeshita,"May 24, 2026",Double or Nothing,AEW,,,,
"Bandido , Noisy Boy, Spider Fly and Zonik vs. Gringo Loco , Vengador, Iron Kid and Turbo - Riot Lucha Libre - May 29, 2026 - Lo Mismo Pero Sin Cambios","Bandido , Noisy Boy, Spider Fly and Zonik vs. Gringo Loco , Vengador, Iron Kid and Turbo","May 29, 2026",Lo Mismo Pero Sin Cambios,Riot Lucha Libre,,,,
"El Grande Americano vs. ""The Original"" El Grande Americano - AAA/WWE - May 30, 2026 - Noche de Los Grandes Week 1","El Grande Americano vs. ""The Original"" El Grande Americano","May 30, 2026",Noche de Los Grandes Week 1,AAA/WWE,,,,
